curve_level_data,,,,,,,,,,,,,,
plant_id,treatment,id,leaf_temp,Tleaf_mean,Tleaf_sd,Tleaf_min,Tleaf_max,Tk,obs_vcmax,obs_jmax,obs_Vcmax25,obs_Jmax25,n_Aci_points,Tleaf_range
23D,37,23D_35,35,32.06559971,0.225940855,31.87409231,32.56465625,305.2155997,177.0303791,174.4825437,81.83706111,139.0249656,91,0.690563942
24D,37,24D_15,15,20.85668404,0.339076331,20.67362857,23.7565,294.006684,48.91687604,86.63738183,78.24452902,106.4833858,194,3.082871429
24D,37,24D_20,20,24.10184174,0.402050182,23.73627407,25.04096774,297.2518417,63.33021656,89.63032968,70.04043511,93.49858781,190,1.304693668
24D,37,24D_25,25,27.29754325,0.199483381,27.13563333,27.79174516,300.4475432,94.1199626,105.4609474,72.94368434,95.55350031,192,0.656111828
24D,37,24D_30,30,30.3994878,0.422180004,30.04176667,31.34279667,303.5494878,139.8438651,132.8288373,77.29621019,108.9227511,192,1.30103
25D,37,25D_20,20,24.55088108,0.030771825,24.50231538,24.61543846,297.7008811,122.9154951,159.548784,129.2541556,162.9208758,96,0.113123077
25D,37,25D_30,30,30.95779906,0.188638875,30.76169231,31.40087692,304.1077991,228.3201212,223.4384969,118.8382895,181.0369822,96,0.639184615
25D,37,25D_35,35,33.64830142,0.167405978,33.47837333,34.01100769,306.7983014,266.6887985,230.1644614,104.222304,182.5871867,96,0.532634359
25D,37,25D_40,40,35.99231195,0.179731716,35.74973846,36.35750769,309.1423119,307.9251438,236.1567303,94.13224938,196.2202044,96,0.607769231
26D,37,26D_15,15,20.86873029,0.167164456,20.65911111,21.24643548,294.0187303,42.88588622,67.92459375,68.5027849,83.43114217,96,0.587324373
26D,37,26D_25,25,25.97860816,0.024409278,25.92806333,26.00774444,299.1286082,93.20838386,133.6839606,83.57924054,127.9429067,96,0.079681111
26D,37,26D_30,30,29.12528401,0.0137312,29.08668667,29.14462963,302.275284,119.2032711,153.2844026,75.63740432,130.1704098,96,0.057942963
26D,37,26D_35,35,32.12345561,0.037904442,32.07303704,32.19255,305.2734556,174.4829855,186.2528529,80.16327006,148.3160016,96,0.119512963
26D,37,26D_40,40,35.06025418,0.035167719,35.01766786,35.12452963,308.2102542,246.4168334,227.910941,83.01986355,184.3574942,96,0.106861772
28D,37,28D_15,15,21.35852993,0.023249573,21.27434194,21.39071481,294.5085299,46.21431958,91.81164012,69.78435174,109.9157489,192,0.116372879
28D,37,28D_20,20,24.22626182,0.143315095,24.01625,24.48502903,297.3762618,56.47193327,88.4636843,61.58796219,91.73389214,192,0.468779032
28D,37,28D_25,25,26.94632991,0.311342477,26.54251071,27.50285,300.0963299,83.24808695,110.791666,67.06434425,101.8007266,192,0.960339286
28D,37,28D_30,30,30.10124934,0.157944367,29.97164074,30.44708,303.2512493,111.5730009,131.5388454,63.68787275,108.6544083,192,0.475439259
30D,37,30D_15,15,21.18780619,0.186210764,20.8771,21.54730667,294.3378062,64.15520765,129.7612132,98.79007264,156.7387757,194,0.670206667
30D,37,30D_30,30,29.68693109,0.317215,29.41692308,30.40354615,302.8369311,138.8098084,183.5645921,82.86835415,153.3165254,96,0.986623077
30D,37,30D_35,35,31.81634523,0.194816989,31.6382,32.29145385,304.9663452,173.9823151,205.7322846,82.59702736,164.396333,96,0.653253846
30D,37,30D_40_new,40,34.86642395,0.184684174,34.68823846,35.35622308,308.0164239,237.5564944,240.1105506,81.67522704,193.4251365,96,0.667984615
31D,37,31D_15,15,21.18899817,0.35376018,20.88983846,21.9521,294.3389982,88.55028142,154.9897781,136.336442,187.2007325,96,1.062261538
31D,37,31D_20,20,25.67213131,0.365431139,24.7712375,26.11931538,298.8221313,126.1274727,213.3910936,117.0174763,206.9986344,96,1.348077885
31D,37,31D_25,25,29.63545109,0.313980526,29.29683077,30.38283846,302.7854511,209.1225008,219.460098,125.5429566,183.5626828,96,1.086007692
31D,37,31D_30,30,31.83802212,0.242961208,31.55683077,32.36176923,304.9880221,258.2670397,248.2744939,122.3270388,198.3370429,96,0.804938462
31D,37,31D_35,35,33.82867584,0.402502843,33.3711,34.47949231,306.9786758,287.3424881,267.0090526,110.1767804,212.0636204,96,1.108392308
31D,37,31D_40,40,34.50784165,0.216259524,34.22549231,34.9247375,307.6578417,320.2239209,285.1133104,114.3162969,228.2161242,96,0.699245192
32D,37,32D_15,15,20.71668657,0.319437441,20.36704286,21.44394516,293.8666866,80.05529909,143.0458935,130.1303394,177.1158128,96,1.076902304
32D,37,32D_20,20,23.77452405,0.152755226,23.62293704,24.11363,296.924524,115.9687209,183.7665908,133.0711764,194.7506871,96,0.490692963
32D,37,32D_25,25,26.6037409,0.050861673,26.51358333,26.73777143,299.7537409,144.2458695,214.1836715,120.6861447,199.5939104,96,0.224188095
32D,37,32D_30,30,29.92626352,0.030787236,29.88395714,30.01657143,303.0762635,179.9510874,225.8388921,104.6812952,187.398498,96,0.132614286
32D,37,32D_35,35,32.99928776,0.286505877,32.61445161,33.58128929,306.1492878,253.5538286,270.3152602,106.1323349,214.1675852,96,0.966837673
32D,37,32D_40,40,35.88998727,0.157264881,35.6583037,36.10844444,309.0399873,357.1866251,320.8236695,110.3598019,265.6317602,96,0.450140741
33D,37,33D_15,15,22.14561084,0.026571787,22.10924615,22.2045,295.2956108,95.54264007,114.7318793,131.8618163,131.8876481,96,0.095253846
33D,37,33D_20,20,26.02653404,0.308698,25.70590769,26.6502,299.176534,157.3043577,198.0514633,140.3049317,189.1514718,96,0.944292308
33D,37,33D_25,25,28.69493741,0.06982527,28.61577692,28.81650667,301.8449374,175.2624751,207.2659352,116.5449731,178.4708671,96,0.200729744
33D,37,33D_30,30,30.93176317,0.099439861,30.802875,31.16159167,304.0817632,208.0233234,230.2935299,108.5773791,186.6863878,96,0.358716667
33D,37,33D_35,35,33.60589545,0.07899994,33.51018462,33.78996923,306.7558954,279.500857,260.694376,109.7194711,206.7603506,96,0.279784615
33D,37,33D_40,40,36.24557402,0.152571006,35.94032308,36.43373846,309.395574,336.5694249,281.1299846,100.2167166,235.7819556,96,0.493415385
34D,37,34D_15,15,21.3447092,0.115471417,21.25186667,21.65153667,294.4947092,70.87360987,105.7549804,107.1898767,126.6997352,192,0.39967
34D,37,34D_25,25,27.93466262,0.068959262,27.86021111,28.05291429,301.0846626,116.467315,137.2032096,84.1614547,121.3359376,192,0.192703175
34D,37,34D_40,40,36.92965452,0.114632683,36.79616667,37.18465,310.0796545,235.4411949,188.369547,65.30914013,162.7670614,192,0.388483333
35D,37,35D_15,15,22.2669969,0.12236065,22.11292308,22.50503333,295.4169969,88.98268792,111.4970621,121.1217,127.3776586,96,0.392110256
35D,37,35D_20,20,25.88777238,0.411379434,25.3929,26.64953333,299.0377724,168.0501449,186.4504607,152.2176406,179.1528879,96,1.256633333
35D,37,35D_25,25,28.47505004,0.078406677,28.37049231,28.62661538,301.62505,175.2917446,195.1503968,119.395939,169.2939161,96,0.256123077
35D,37,35D_30,30,30.88047498,0.105979309,30.76840769,31.11633846,304.030475,192.3968764,198.7194257,100.9763377,161.2553665,96,0.347930769
35D,37,35D_35,35,33.71820344,0.10641612,33.62257692,33.91031875,306.8682034,282.1767799,233.71392,109.4643624,185.4789478,96,0.287741827
35D,37,35D_40,40,36.33212226,0.09526865,36.20180769,36.53633846,309.4821223,349.2733576,255.0455812,103.0694593,214.6341328,96,0.334530769
36D,37,36D_15,15,21.11684449,0.090566466,21.02315714,21.30207419,294.2668445,75.31448845,140.0045459,116.9218898,169.7407899,96,0.278917051
36D,37,36D_20,20,24.02458196,0.110493349,23.87104074,24.26980357,297.174582,105.4478211,169.486783,117.6386854,177.4589029,96,0.398762831
36D,37,36D_25,25,26.99294733,0.073916913,26.90728571,27.19027857,300.1429473,158.7163935,200.8823451,127.2053901,184.232592,96,0.282992857
36D,37,36D_30,30,30.24071243,0.222970414,30.00146207,30.67224815,303.3907124,223.7964767,243.0996797,125.8371156,200.108318,96,0.670786079
36D,37,36D_35,35,33.48433461,0.128990905,33.2948,33.76558214,306.6343346,312.6880588,280.4548697,124.3338596,222.3156641,96,0.470782143
36D,37,36D_40,40,35.48993666,0.318531634,35.10062857,36.21175,308.6399367,367.5201048,329.713117,118.385422,269.6307963,96,1.111121429
37D,23,37D_15,15,23.65091145,0.037023595,23.61445385,23.7360125,296.8009115,89.06216779,162.9679265,103.6310779,173.7514362,97,0.121558654
37D,23,37D_20,20,24.89168175,0.084188545,24.79063846,25.05612,298.0416817,100.1734771,170.4995228,101.3943077,171.3546897,96,0.265481538
37D,23,37D_25,25,28.0074157,0.038465145,27.96988462,28.08394615,301.1574157,135.846641,201.2820466,97.38570845,177.5306083,96,0.114061538
37D,23,37D_30,30,30.71344514,0.023545172,30.68143077,30.76126154,303.8634451,168.9640781,226.1967786,90.28570603,184.1876796,97,0.079830769
37D,23,37D_35,35,33.04989964,0.058290425,32.98924615,33.15274615,306.1998996,198.603053,240.1702833,82.68625965,190.2723345,96,0.1635
37D,23,37D_40,40,35.9649342,0.075093424,35.71906,36.03405385,309.1149342,216.5124112,258.629819,66.37622504,214.6873648,97,0.314993846
